,date,grocery,sub_region_2
284205,2/15/20,9.0,Baker County
284206,2/16/20,-6.0,Baker County
284207,2/17/20,6.0,Baker County
284208,2/18/20,9.0,Baker County
284209,2/19/20,7.0,Baker County
284210,2/20/20,6.0,Baker County
284211,2/21/20,6.0,Baker County
284212,2/22/20,11.0,Baker County
284213,2/23/20,-1.0,Baker County
284214,2/24/20,15.0,Baker County
284215,2/25/20,9.0,Baker County
284216,2/26/20,9.0,Baker County
284217,2/27/20,10.0,Baker County
284218,2/28/20,14.0,Baker County
284219,2/29/20,21.0,Baker County
284220,3/1/20,19.0,Baker County
284221,3/2/20,19.0,Baker County
284222,3/3/20,20.0,Baker County
284223,3/4/20,10.0,Baker County
284224,3/5/20,10.0,Baker County
284225,3/6/20,14.0,Baker County
284226,3/7/20,16.0,Baker County
284227,3/8/20,15.0,Baker County
284228,3/9/20,16.0,Baker County
284229,3/10/20,21.0,Baker County
284230,3/11/20,19.0,Baker County
284231,3/12/20,26.0,Baker County
284232,3/13/20,29.0,Baker County
284233,3/14/20,32.0,Baker County
284234,3/15/20,28.0,Baker County
284235,3/16/20,34.0,Baker County
284236,3/17/20,30.0,Baker County
284237,3/18/20,26.0,Baker County
284238,3/19/20,26.0,Baker County
284239,3/20/20,20.0,Baker County
284240,3/21/20,30.0,Baker County
284241,3/22/20,1.0,Baker County
284242,3/23/20,13.0,Baker County
284243,3/24/20,15.0,Baker County
284244,3/25/20,14.0,Baker County
284245,3/26/20,1.0,Baker County
284246,3/27/20,4.0,Baker County
284247,3/28/20,11.0,Baker County
284248,3/29/20,-8.0,Baker County
284249,3/30/20,2.0,Baker County
284250,3/31/20,-4.0,Baker County
284251,4/1/20,19.0,Baker County
284252,4/2/20,17.0,Baker County
284253,4/3/20,6.0,Baker County
284254,4/4/20,9.0,Baker County
284255,4/5/20,-6.0,Baker County
284294,5/14/20,5.0,Baker County
284295,5/15/20,10.0,Baker County
284299,5/19/20,14.0,Baker County
284301,5/21/20,9.0,Baker County
284302,5/22/20,15.0,Baker County
284306,5/26/20,9.0,Baker County
284308,5/28/20,9.0,Baker County
284309,5/29/20,5.0,Baker County
284313,6/2/20,16.0,Baker County
284315,6/4/20,8.0,Baker County
284316,6/5/20,8.0,Baker County
284320,6/9/20,3.0,Baker County
284322,6/11/20,2.0,Baker County
284323,6/12/20,7.0,Baker County
284327,6/16/20,11.0,Baker County
284329,6/18/20,15.0,Baker County
284330,6/19/20,13.0,Baker County
284334,6/23/20,8.0,Baker County
284336,6/25/20,8.0,Baker County
284337,6/26/20,12.0,Baker County
284341,6/30/20,13.0,Baker County
284343,7/2/20,19.0,Baker County
284344,7/3/20,16.0,Baker County
284345,2/15/20,6.0,Bay County
284346,2/16/20,1.0,Bay County
284347,2/17/20,1.0,Bay County
284348,2/18/20,0.0,Bay County
284349,2/19/20,1.0,Bay County
284350,2/20/20,-3.0,Bay County
284351,2/21/20,1.0,Bay County
284352,2/22/20,2.0,Bay County
284353,2/23/20,4.0,Bay County
284354,2/24/20,-2.0,Bay County
284355,2/25/20,3.0,Bay County
284356,2/26/20,2.0,Bay County
284357,2/27/20,7.0,Bay County
284358,2/28/20,7.0,Bay County
284359,2/29/20,12.0,Bay County
284360,3/1/20,11.0,Bay County
284361,3/2/20,4.0,Bay County
284362,3/3/20,10.0,Bay County
284363,3/4/20,4.0,Bay County
284364,3/5/20,6.0,Bay County
284365,3/6/20,4.0,Bay County
284366,3/7/20,8.0,Bay County
284367,3/8/20,9.0,Bay County
284368,3/9/20,5.0,Bay County
284369,3/10/20,9.0,Bay County
284370,3/11/20,8.0,Bay County
284371,3/12/20,17.0,Bay County
284372,3/13/20,24.0,Bay County
284373,3/14/20,28.0,Bay County
284374,3/15/20,29.0,Bay County
284375,3/16/20,29.0,Bay County
284376,3/17/20,31.0,Bay County
284377,3/18/20,18.0,Bay County
